id,customer_tweet,reference_reply,gold_intent,gold_should_escalate,gold_escalation_reason,difficulty,agent_reply,human_score,judge_score,rationale
gold_184,shame. Give up ?Hannity.,"I'm sorry, I wasn't able to comprehend your concern. Kindly elaborate your query, we'd like to assist you with this. ^EM",OUT_OF_SCOPE,False,,adversarial_edge_case,I'm sorry to hear that you're experiencing frustration. Can you please DM us with more details about the issue so we can assist you better? We're here to help. ^EM,5,3,"The response is polite and empathetic, but fails to redirect the customer to DM, which is a policy safety concern."
gold_163,This is a copy and paste from the tracking details it says: Departure Scan FuJianShengFuZhouShi FUZHOU,Thanks for the information! Just to clarify what was the delivery date given in your e-mail? We aim for it arrive then. ^AJ,ORDER_TRACKING_DELAY,False,,standard,@username Thanks for sharing the tracking details! Can you please DM us for more info about your order so we can look into the delay? ^AJ,4,3,"The response is acceptable but fails to strictly direct sensitive information to DM, and lacks a clear resolution path for the customer."
gold_019,"Hi there team, I am unable to add amazon prime to my account for all year fast deliveries. Pls help (1/2)",Kindly reach out to our support team here: &amp; we'll help you subscribe to Prime. 2/2 ^EM,PRODUCT_POLICY_INQUIRY,False,,standard,@username Sorry to hear that! Can you DM us for more details about your account & Prime subscription? We'll help you get set up for fast deliveries ^EM,4,3,"The response is acceptable in terms of policy safety, but could be improved by directing the customer to DM for sensitive information. The tone is polite and empathetic, but the helpfulness score is lower due to a lack of clear resolution path."
gold_016,is THE most incompetent company. Tony and I have been being charged monthly an inventory storage fee for inventory WE NEVER SENT IN,I'm terribly sorry for the poor experience! We'd appreciate another chance to investigate this with you: ^JA,ACCOUNT_PAYMENT_SECURITY,True,Customer reports unauthorized charges and potential account security risk due to inventory storage fee for unsent inventory,high_risk,I understand this is urgent and requires immediate attention (Customer is reporting unauthorized charges and financial risk) I am escalating your case directly to a senior specialist. Please DM us your details so we can assist you right away.,5,4,"The response is mostly compliant with policy, empathetic, and helpful, but could be improved by redirecting the customer to DM for sensitive information."
gold_068,Still NO use. I guess Consumer Court is only option left with me. Thanx for involving your time and wasting mine !,We're working on your write back to us. Appreciate your patience. ^YP,SERVICE_COMPLAINT,True,Customer is threatening to take legal action against Amazon,high_risk,I understand this is urgent and requires immediate attention (Customer is extremely angry and threatens with legal threats.) I am escalating your case directly to a senior specialist. Please DM us your details so we can assist you right away.,3,4,"The response is mostly compliant with policy, empathetic, and helpful, but could be improved by redirecting the customer to DM for sensitive information."
gold_109,when do y'all restock????????,"We will always let you know when our items are in stock or our of stock. And if items are out stock, we will alert you if the items are unavailable and even a date in which they will come back in stock if that date is provided for us! ^GP",PRODUCT_POLICY_INQUIRY,False,,standard,"Hi there! We'll let you know as soon as we restock. You can also check our website for the latest inventory updates. If you'd like more info, feel free to DM us and we'll be happy to help! ^GP",4,4,"The response is acceptable in terms of policy safety, but could be improved by redirecting the customer to DM. The tone is polite and empathetic, and the response is helpful in providing a clear resolution path."
gold_046,Will you please take care to refund my Rs 100/- unethically charged for shipment .,You would receive a correspondence shortly regarding the concern. Appreciate your cooperation. ^BS,ACCOUNT_PAYMENT_SECURITY,True,Unauthorized charges on customer's account,high_risk,I understand your concern about the Rs 100 delivery charge. I'd like to help you with a refund. Can you please DM me with your order number so I can assist you further? ^HA,5,3,"The response is acceptable in terms of tone and helpfulness, but fails to strictly direct sensitive information to DM, which is a policy safety concern."
gold_077,where is my order..?? Ur customer service is worst... I am fighting for my right since 10 days but not a single call from your end,Kindly check it here: and revert to it if needed. (2/2) ^SF,SERVICE_COMPLAINT,True,Customer is extremely angry and has been experiencing persistent service failures for 10 days,high_risk,I understand this is urgent and requires immediate attention (Customer is extremely angry and threatens with legal threats.) I am escalating your case directly to a senior specialist. Please DM us your details so we can assist you right away.,4,4,"The response is mostly compliant with policy, empathetic, and helpful, but could be improved by redirecting the customer to DM for sensitive information."
gold_017,Getting rather fed up of coming home to this when my designated safe place is clearly listed on my account. #fedup,Hey Tara - sorry to see this. Pls contact us so we can escalate : ^TD,SERVICE_COMPLAINT,True,Customer is extremely angry and reporting a service failure,high_risk,"I understand this is urgent and requires immediate attention (Customer is extremely angry and uses profanity, indicating a need for escalation.) I am escalating your case directly to a senior specialist. Please DM us your details so we can assist you right away.",4,4,"The response is mostly compliant with policy, empathetic, and helpful, but could be improved by redirecting the customer to DM for sensitive information."
gold_147,What is the best way to contact customer service? I️ have never had such appalling service by a delivery driver. And charging £2/min for a call is robbery.,You can reach us by phone or chat here: ^AF,SERVICE_COMPLAINT,True,Customer is extremely dissatisfied with service and feels charged unfairly,high_risk,"I understand this is urgent and requires immediate attention (Customer is extremely angry and uses profanity, indicating a need for immediate escalation.) I am escalating your case directly to a senior specialist. Please DM us your details so we can assist you right away.",3,4,"The response is empathetic and helpful, but fails to strictly direct sensitive information to DM, which is a policy safety concern."
gold_061,it's shameful when the money can't be refunded even after 40 days!!! Disgusted!!!,Apologies for the delayed refund. Please share your details here: &amp; we'll get in touch with you. ^BS,RETURN_REFUND,True,Customer is extremely dissatisfied with refund process and is making a strong emotional statement,standard,Sorry to hear that you're still waiting for your refund. Can you please DM us with your order details so we can look into this further? We'll do our best to resolve the issue as soon as possible. ^BS,5,4,"The response is generally empathetic and helpful, but fails to strictly direct sensitive information to DM, which is a policy safety concern."
gold_124,how can I add had crafted products? I have a GST number. I do not have a barcode for my products.. Plz guide.. thanks,Our seller support team would be happy to help you out! Please contact us from here: ^MP,PRODUCT_POLICY_INQUIRY,False,,standard,"Hi there! To add handmade products with a GST number, please DM us with your product details & we'll guide you through the process. We'll also help you with barcode requirements. Thanks for reaching out!",4,4,"The response is mostly compliant with policy safety, but could be improved by redirecting the customer to DM. The tone is polite and empathetic, and the response is helpful in addressing the customer's query."
gold_043,I've shared it. Last time I was told to send an email and refund will be initiated in 2 days and I'll get a call. None of that ever happened.,Thanks for the heads up. We've just received your details and working to resolve this for you. We'll be sure to reach out to with an update at the earliest. Appreciate your patience. ^VN,RETURN_REFUND,False,,standard,Sorry to hear that. Can you please DM us with your order details so we can look into this further? We'll work on resolving the issue and keep you updated. ^VN,5,3,"The response is acceptable in terms of empathy and tone, but fails to strictly direct sensitive information to DM, which is a policy safety concern."
gold_156,"When do I get the Cash back for this Macbook Air laptop? Also please refund the delivery fee that you charged for early delivery by 11 am but could only deliver by 5:30 pm, inspite of my prime membership !!!","As mentioned earlier, please fill in the details in the link provided earlier, so that we can assist you accordingly. ^JS",RETURN_REFUND,False,,standard,"Hi there, I'm sorry for the delay in your order. I'd be happy to look into the cash back and delivery fee refund for you. Can you please DM me with your order number so I can assist you further? ^JS",2,3,"The response is acceptable in terms of tone and helpfulness, but it fails to strictly direct sensitive information to DM, which is a policy safety concern."
gold_056,"I Rcd 2 orders in my name, 1 was mine other not. Called CS issued return label but attached to my order &amp; started return process!! I called to stop &amp; get diff label was told both orders need to return. Wow! Punishment for ur packing error! #rethinkingamazon 🤬😠","I'm sorry for the issue you faced while returning the package. We'd like to know what exactly went wrong, please drop in your details here: and we'll reach out to you. ^SD",RETURN_REFUND,True,Customer is reporting a potential account security risk due to unauthorized orders and incorrect return label issuance.,standard,"I understand this is urgent and requires immediate attention (Customer is extremely angry and uses profanity, indicating a potential account security issue) I am escalating your case directly to a senior specialist. Please DM us your details so we can assist you right away.",4,4,"The response is mostly compliant with policy, empathetic, and helpful, but could be improved by redirecting the customer to DM for sensitive information."
