id,customer_tweet,reference_reply,gold_intent,gold_should_escalate,gold_escalation_reason,difficulty
gold_001,why is this on my bank account I’m not a prime member it’s going to make me overdrawn 😡😡😡,Have you checked your account here: ^CD,ACCOUNT_PAYMENT_SECURITY,True,Unauthorized charges on customer's bank account,high_risk
gold_002,"Hey Guys ! i have a quarry reg iphone8+, it's mention that 8k CB in city card. I wanna know even if i don't wanna enroll jio offer will CB still applicable ?",Could you please help us with the product link so that we can review it and help you with the complete information. ^SU,PRODUCT_POLICY_INQUIRY,False,,standard
gold_003,I'd like to keep my Prime membership. But I'd also like my bank account not to be freaking out at me. Thanks!,I'm sorry for the unexpected charge. We'd like to take a closer look at what's happened here: ^RA,ACCOUNT_PAYMENT_SECURITY,False,,standard
gold_004,"I share the Amazon account with my mother. But she’s clueless, and I didn’t get an email confirming any purchases.","Hi, is there any info visible in Content &amp; Devices here: ^TS",ACCOUNT_PAYMENT_SECURITY,False,,standard
gold_005,"i have lost all faith in your company. i had already updated my card details in your app, but because your company, i removed it","If the details were shared, you must've received a correspondence from us. Please check. ^HD",ACCOUNT_PAYMENT_SECURITY,True,Customer is expressing extreme dissatisfaction and concern about unauthorized charges,high_risk
gold_006,"Please get someone who speaks English to change bank ac to 2760. Currently 4768, won't let me amend as says can't verify. Seller ac",We advise customers to avoid posting personal information via a public forum. Get in touch using the link we provided. ^BM,ACCOUNT_PAYMENT_SECURITY,False,,standard
gold_007,"Welche Möglichkeiten hat man, wenn der Account gehackt wurde während man im Urlaub war. Die E-Mail Adresse wurde geändert, aber unbekannt auf welche. Kann man das irgendwie rausfinden? Angeblich soll alles zurückgebucht werden, aber nichts passiert.",Melde dich bitte über folgenden Link bei uns im Kundenservice: Nenne den Kollegen bitte die bisherige E-Mail Adresse deines Kundenkontos. Viele Grüße ^UK,ACCOUNT_PAYMENT_SECURITY,True,"Customer reports account hacking and unauthorized changes to email address, indicating potential security risk",high_risk
gold_008,"No no, I mean is there a way I can add stuff to my girlfriend's account without being on her account.","We take account security very seriously, so in order to add to/edit a wish list you need to be logged into that account ^AD",PRODUCT_POLICY_INQUIRY,False,,standard
gold_009,Ordered a laptop and paid the amount Cancelled the same and ordered another laptop from my brothers account. I wanna order the (1/n),"I get your concern, call us here: &amp; we'll check this for you. ^MJ",ORDER_TRACKING_DELAY,False,,standard
gold_010,"If you can't i'd like to cancel my order get refunded and delete my account with this service , as it's totally a waste of time.","2/2 option ""Wenn Sie kein Konto haben oder auf Ihr Konto nicht zugreifen können, können Sie die Anmeldung überspringen."" ^DS",RETURN_REFUND,False,,standard
gold_011,Amazon fooling customers. Fraud company. Taking money but not delivering product's. Don't Buy from Amazon.,"I'm unable to comprehend your concern, Nilesh. Please tell us more about the issue so we can assist accordingly. ^MP",SERVICE_COMPLAINT,True,Customer is making a legal threat against Amazon,high_risk
gold_012,My number seems to be linked with another account. I can't complete any purchase without this. Please help.,"Sorry to hear that, Vidushi. Please reach out to our support team here: and they will look into this for you. ^NK",ACCOUNT_PAYMENT_SECURITY,False,,standard
gold_013,"Hello, Got tickets this morning for Foo Fighters on my dad's prime account, will i be fine with the names on the tickets?","H Ryan, what name is on the tickets? Are they placed on your name or the name of the person collecting them ? ^CR",PRODUCT_POLICY_INQUIRY,False,,standard
gold_014,Hey could you maybe notify a person BEFORE you charge them for a year of Prime?,customer in their account. Were you wanting to cancel or do you need help in doing so? Let us know! We want to help! ^KN 2/2,ACCOUNT_PAYMENT_SECURITY,False,,standard
gold_015,already communicate me. and I did not get any answer .. I need to unlock the account so that my orders are released. Does anyone speak Spanish?,On Twitter we have no access into your account. When did you contact the customer service? ^MF,ACCOUNT_PAYMENT_SECURITY,False,,standard
gold_016,is THE most incompetent company. Tony and I have been being charged monthly an inventory storage fee for inventory WE NEVER SENT IN,I'm terribly sorry for the poor experience! We'd appreciate another chance to investigate this with you: ^JA,ACCOUNT_PAYMENT_SECURITY,True,Customer reports unauthorized charges and potential account security risk due to inventory storage fee for unsent inventory,high_risk
gold_017,Getting rather fed up of coming home to this when my designated safe place is clearly listed on my account. #fedup,Hey Tara - sorry to see this. Pls contact us so we can escalate : ^TD,SERVICE_COMPLAINT,True,Customer is extremely angry and reporting a service failure,high_risk
gold_018,In my account I added 1000 RS in pay balance.then I subscribe with this money Amazon prime. I order And then my account Gone close With out any reason.And I can't See the order The Customer service don't know about my account,"On any instance if an Amazon account is put on hold, specialty team sends you an e-mail on your registered id. We would request you to check with the same. ^SS",ACCOUNT_PAYMENT_SECURITY,True,Unauthorized account closure and potential unauthorized charges,high_risk
gold_019,"Hi there team, I am unable to add amazon prime to my account for all year fast deliveries. Pls help (1/2)",Kindly reach out to our support team here: &amp; we'll help you subscribe to Prime. 2/2 ^EM,PRODUCT_POLICY_INQUIRY,False,,standard
gold_020,Do something to control this userid &amp; password sharing.. thank you,I'm sorry I wasn't able to comprehend your concern. Could you please elaborate on your query? ^HD,ACCOUNT_PAYMENT_SECURITY,False,,standard
gold_021,my account is registered under an email address that’s no longer active! How can I change my email address so I can buy your things?,We're happy to look into all available options here: ^LI,ACCOUNT_PAYMENT_SECURITY,False,,standard
gold_022,18.72 was taken out of my account on top of a 35€ order can you DM me please?,I'm sorry for the charge! We don't have access to account info over twitter. Please reach us here: ^MH,ACCOUNT_PAYMENT_SECURITY,True,"Unauthorized charge detected, customer is requesting further assistance",high_risk
gold_023,I did and I sent it through ups but I still didn't see anything in my account.,"Oh no! Your status will display as ""returned"" once your rental return is accepted; When you check your tracking information for your return, what does it show? Please let us know so we can further assist. ^DY",ORDER_TRACKING_DELAY,False,,standard
gold_024,"Buenas tardes, está sobre la mesa sacar la Amazon Rewards Visa Card en España? Gracias y un saludo!","Hola Arturo, te comento que no contamos con esa información. Cualquier novedad se puede ver en el sitio web directamente. ^KS",PRODUCT_POLICY_INQUIRY,False,,standard
gold_025,I already have contacted you and got no helpful response. I'm left to take it up with my bank. Amazon's help was useless.,Sorry to hear this - what information did we provide ? ^TD,SERVICE_COMPLAINT,True,Customer is extremely dissatisfied with service and is considering escalating to their bank,high_risk
